Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
5034.2yr.L2	5034	B	2yr	850	6.745236349	L2	L	F	N	40	2.241079	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.L3	5034	B	2yr	851	6.746412129	L3	L	F	N	25.5	2.242692	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S1	5034	B	2yr	849	6.744059186	S1	S	F	N	25	2.118633	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S2	5034	B	2yr	850	6.745236349	S2	S	F	N	23	2.200457	0.65	552.63		5	0	0	23	28	3.63	6.71
5034.2yr.S3	5034	B	2yr	851	6.746412129	S3	S	F	N	24.5	2.23526	0.65	552.63		5	0	0	23	28	3.63	6.71
5035.1yr.F	5035	C	1yr	363	5.894402834	F	F	F	N	33.5	2.850545	1.09	396.44		0	0	0	0	0		
5035.1yr.L1	5035	C	1yr	363	5.894402834	L1	L	F	N	41.75	2.564262	1.09	396.44		0	0	0	0	0		
5035.1yr.L2	5035	C	1yr	364	5.897153868	L2	L	F	N	24	1.553684	1.09	396.44		0	0	0	0	0		
5035.1yr.L3	5035	C	1yr	365	5.899897354	L3	L	F	N	17	1.588576	1.09	396.44		0	0	0	0	0		
5035.1yr.S1	5035	C	1yr	363	5.894402834	S1	S	F	N	31.5	2.472406	1.09	396.44		0	0	0	0	0		
5035.1yr.S2	5035	C	1yr	364	5.897153868	S2	S	F	N	24	1.287656	1.09	396.44		0	0	0	0	0		
5035.1yr.S3	5035	C	1yr	365	5.899897354	S3	S	F	N	22	1.456842	1.09	396.44		0	0	0	0	0		
5035.2yr.F	5035	C	2yr	841	6.73459166	F	F	F	N	19.5	1.191803	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L1	5035	C	2yr	840	6.733401892	L1	L	F	N	32	2.144868	0.65	546.12		0	0	0	0	1	5.93	9.11
5035.2yr.L2	5035	C	2yr	841	6.73459166	L2	L	F	N	89	2.320459	0.65	546.12		0	0	0	0	1	5.93	9.11
